index;state;date;country;recovered
6130;no;2020-02-15;Kenya;0.0
6131;no;2020-02-15;Korea, South;9.0
6132;no;2020-02-15;Kuwait;0.0
6133;no;2020-02-15;Nicaragua;0.0
6134;no;2020-02-15;Somalia;0.0
6135;no;2020-02-15;Nigeria;0.0
6136;no;2020-02-15;Sudan;0.0
6137;no;2020-02-15;Suriname;0.0
6138;no;2020-02-15;Sweden;0.0
6139;no;2020-02-15;Switzerland;0.0
6140;no;2020-02-15;Syria;0.0
6141;no;2020-02-15;Taiwan*;2.0
6142;no;2020-02-15;Tajikistan;0.0
6143;no;2020-02-15;Tanzania;0.0
6144;no;2020-02-15;Thailand;12.0
6145;no;2020-02-15;Timor-Leste;0.0
6146;no;2020-02-15;Togo;0.0
6147;no;2020-02-15;Trinidad and Tobago;0.0
6148;no;2020-02-15;Tunisia;0.0
6149;no;2020-02-15;Sri Lanka;1.0
6150;no;2020-02-15;Turkey;0.0
6151;no;2020-02-15;Uganda;0.0
6152;no;2020-02-15;Ukraine;0.0
6153;no;2020-02-15;United Arab Emirates;3.0
6154;no;2020-02-15;United Kingdom;1.0
6155;no;2020-02-15;Uruguay;0.0
6156;no;2020-02-15;Uzbekistan;0.0
6157;no;2020-02-15;Venezuela;0.0
6158;no;2020-02-15;Vietnam;7.0
6159;no;2020-02-15;West Bank and Gaza;0.0
6160;no;2020-02-15;Western Sahara;0.0
6161;no;2020-02-15;Yemen;0.0
6162;no;2020-02-15;Zambia;0.0
6163;no;2020-02-15;France;4.0
6164;no;2020-02-15;US;3.0
6165;no;2020-02-15;Niger;0.0
6166;no;2020-02-15;Spain;2.0
6167;no;2020-02-15;South Africa;0.0
6168;no;2020-02-15;North Macedonia;0.0
6169;no;2020-02-15;Norway;0.0
6170;no;2020-02-15;Oman;0.0
6171;no;2020-02-15;Pakistan;0.0
6172;no;2020-02-15;Panama;0.0
6173;no;2020-02-15;Papua New Guinea;0.0
6174;no;2020-02-15;Paraguay;0.0
6175;no;2020-02-15;Peru;0.0
6176;no;2020-02-15;Philippines;1.0
6177;no;2020-02-15;Poland;0.0
6178;no;2020-02-15;Portugal;0.0
6179;no;2020-02-15;Qatar;0.0
6180;no;2020-02-15;Romania;0.0
6181;no;2020-02-15;South Sudan;0.0
6182;no;2020-02-15;Russia;2.0
6183;no;2020-02-15;Saint Kitts and Nevis;0.0
6184;no;2020-02-15;Saint Lucia;0.0
6185;no;2020-02-15;Saint Vincent and the Grenadines;0.0
6186;no;2020-02-15;San Marino;0.0
6187;no;2020-02-15;Sao Tome and Principe;0.0
6188;no;2020-02-15;Saudi Arabia;0.0
6189;no;2020-02-15;Senegal;0.0
6190;no;2020-02-15;Serbia;0.0
6191;no;2020-02-15;Seychelles;0.0
6192;no;2020-02-15;Sierra Leone;0.0
6193;no;2020-02-15;Singapore;18.0
6194;no;2020-02-15;Slovakia;0.0
6195;no;2020-02-15;Slovenia;0.0
6196;no;2020-02-15;Rwanda;0.0
6197;no;2020-02-15;Zimbabwe;0.0
6198;no;2020-02-15;Fiji;0.0
6199;no;2020-02-15;Ethiopia;0.0
6200;Isle of Man;2020-02-15;United Kingdom;0.0
6201;Jiangsu;2020-02-15;China;186.0
6202;Jiangxi;2020-02-15;China;210.0
6203;Jilin;2020-02-15;China;26.0
6204;Liaoning;2020-02-15;China;31.0
6205;Macau;2020-02-15;China;3.0
6206;Martinique;2020-02-15;France;0.0
6207;Mayotte;2020-02-15;France;0.0
